Lagoas;Acum_CT
LRF_1;843,7824
LRF_1;988,485
LRF_1;849,1123
LRF_1;752,8445
LRF_1;817,5562
LRF_1;878,5074
LRF_1;888,4169
LRF_1;898,382
LRF_1;998,2446
LRF_1;918,4788
LRF_1;928,6105
LRF_1;938,7978
LRF_1;925,0834
LRF_1;959,3391
LRF_2;508,9449
LRF_2;577,1266
LRF_2;584,4466
LRF_2;590,6191
LRF_2;598,5621
LRF_2;650,3087
LRF_2;611,9782
LRF_2;618,424
LRF_2;624,695
LRF_2;630,7911
LRF_2;636,7124
LRF_2;687,0585
LRF_2;665,9435
LRF_2;686,2499
LRF_2;728,0959
LRF_2;713,4734
LRF_2;718,2282
LRF_2;745,9177
LRF_2;786,1431
LRF_2;778,968
LRF_2;795,7205
LRF_2;632,6322
LRF_2;688,7762
LRF_2;657,3476
LRF_3;595,629
LRF_3;560,4818
LRF_3;575,3829
LRF_3;562,0495
LRF_3;562,7547
LRF_3;575,2189
LRF_3;564,0077
LRF_3;564,5556
LRF_3;533,9891
LRF_3;383,0182
LRF_3;489,1606
LRF_3;404,8267
LRF_3;415,4687
LRF_3;459,098
LRF_3;436,2281
LRF_3;446,3456
LRF_3;599,615
LRF_3;466,056
LRF_3;457,6498
LRF_3;485,067
LRF_3;494,3103
LRF_3;400,2727
LRF_3;512,2723
LRF_3;520,991
LRF_3;473,5035
LRF_3;537,904
LRF_3;472,1631
LRF_3;554,1176
LRF_3;561,9621
ITP_1;171,9855
ITP_1;169,8004
ITP_1;167,0474
ITP_1;168,0698
ITP_1;213,8488
ITP_1;210,4383
ITP_1;182,7038
ITP_1;203,0595
ITP_1;217,8739
ITP_1;199,7258
ITP_1;194,3265
ITP_1;143,184
ITP_2;309,7811
ITP_2;275,5317
ITP_2;465,6919
ITP_2;163,2599
ITP_2;142,977
ITP_2;117,3416
ITP_2;138,6949
ITP_2;197,5833
ITP_2;197,4602
ITP_2;212,1873
ITP_2;226,2694
ITP_2;186,1209
ITP_2;138,4947
ITP_2;163,9658
ITP_3;298,5746
ITP_3;311,6129
ITP_3;260,0551
ITP_3;261,6734
ITP_3;223,4857
ITP_3;229,1651
ITP_3;249,3307
ITP_3;323,0166
ITP_3;227,6498
ITP_3;250,4795
ITP_3;237,8596
ITP_3;274,8061
ITP_3;295,9175
ITP_3;332,902
ITP_3;252,2231
ITP_3;278,4339
ITP_3;318,6234
ITP_3;290,6555
ITP_3;278,1345
ITP_3;198,6951
ITP_3;168,5032
ITP_3;213,826
ITP_3;347,974
MAC_1;152
MAC_1;137,7
MAC_1;156,8
MAC_1;153
MAC_1;152
MAC_1;137,7
MAC_1;156,7
MAC_1;153
MAC_2;207,1
MAC_2;180,2
MAC_2;189,8
MAC_2;189,1
MAC_2;212,1
MAC_2;209,6
MAC_2;168,6
MAC_2;161,1
MAC_2;160,9
MAC_3;300,9
MAC_3;307,5
MAC_3;196,7
MAC_3;181,1
MAC_3;161,6
MAC_3;185,2
MAC_3;193
MAC_3;195,8
MAC_3;170,5
MAC_3;199,8
MAC_3;200,5
MAC_3;198,1
MAC_3;166,3
MAC_3;192,7
IMB_1;15,55352
IMB_1;12,73853
IMB_1;11,886
IMB_1;10,70688
IMB_1;14,00861
IMB_1;15,19906
IMB_1;18,22665
IMB_1;16,31636
IMB_1;14,6
IMB_1;14,33
IMB_1;14,6
IMB_1;14,33
IMB_1;14,6
IMB_1;14,33
IMB_2;9,682341
IMB_2;7,468203
IMB_2;12,67912
IMB_2;15,13998
IMB_2;16,44175
IMB_2;23,47664
IMB_2;13,91
IMB_2;14,15
IMB_2;13,91
IMB_2;14,15
IMB_2;13,91
IMB_2;14,15
IMB_3;20,27926
IMB_3;6,964193
IMB_3;9,184488
IMB_3;9,029605
IMB_3;13,1896
IMB_3;13,98187
IMB_3;12,31566
IMB_3;10,20337
IMB_3;6,487547
