"","ITP3"
"1",3.6534418957976
"2",3.97952145415478
"3",3.60634232545754
"4",3.90258682437731
"5",3.66716489023129
"6",3.22036631353789
"7",3.19730279132732
"8",5.05831245815842
"9",4.37516779149451
"10",3.62322671246317
"11",3.13926708968165
"12",2.72105855769545
"13",3.98460595818783
"14",3.81603135347441
"15",2.62839425196128
"16",2.98967446200825
"17",3.58656208117456
"18",3.48480265891892
"19",3.73164100647523
"20",2.78049612615387
"21",2.76588882798925
"22",2.99040209334902
"23",3.79371458177966
