"","ITP3"
"1",3.33917460941101
"2",3.608609936453
"3",3.29989248741857
"4",3.54543522998427
"5",3.35060250904236
"6",2.97447041481156
"7",2.95482565606858
"8",4.46933198620388
"9",3.92968334990674
"10",3.3139850918708
"11",2.90529239074455
"12",2.54407128006011
"13",3.61277651125067
"14",3.47406928343605
"15",2.46300655412333
"16",2.77695090404676
"17",3.28336770685309
"18",3.19809722171284
"19",3.40419050838009
"20",2.59587116836479
"21",2.58315516031006
"22",2.77757749416381
"23",3.45561872028306
