"","LRF1"
"1",6.46382601945567
"2",6.36722068169946
"3",6.28970777867085
"4",13.3261348967029
"5",6.39836512443705
"6",13.2464288593253
"7",6.48215980787831
"8",6.42900325386989
"9",6.40719874714079
"10",6.44915613072139
"11",6.47004488476395
"12",6.53332201387167
"13",6.47898817592653
"14",6.454536551806
"15",6.36731596646837
"16",6.50835757688261
"17",6.46095679562088
"18",13.4354426921854
"19",6.55399693477122
"20",6.79499836618208
"21",6.55631816505909
"22",6.48201363430053
"23",13.4222990667024
"24",6.58452395331216
"25",6.5938338116221
"26",6.60309820971639
"27",6.70662856844981
"28",6.62149313129322
"29",6.63062441292726
"30",6.63971216030204
"31",6.62318914694195
"32",6.65775889598351
