"","LRF3"
"1",5.26924345450877
"2",9.50935941181019
"3",5.23875948355555
"4",5.20946435448368
"5",5.22318718713738
"6",5.25345518831725
"7",5.25020569413488
"8",5.26350694668661
"9",5.24960786223554
"10",5.00032896474355
"11",5.16411957156124
"12",5.0669564029111
"13",5.09879221987485
"14",9.44084547810034
"15",5.15980228428884
"16",5.18907828975669
"17",5.3637637259859
"18",5.24539409785097
"19",5.09921152685092
"20",5.06294241010852
"21",5.08558324798721
"22",4.95943278806168
"23",5.12929258269832
"24",5.15041174473254
"25",5.15646849309624
"26",5.19129078212652
"27",5.15443262662064
"28",5.23049045253202
"29",5.24950519187399
