Lagoas;Acum_Pinorg
LRF1;0.149281
LRF1;0.146998
LRF1;0.132491
LRF1;0.142302
LRF1;0.13989
LRF1;0.137436
LRF1;0.143758
LRF1;0.132398
LRF1;0.129816
LRF1;0.12719
LRF1;0.125885
LRF1;0.121811
LRF1;0.119057
LRF1;0.11626
LRF1;0.099465
LRF1;0.110539
LRF1;0.107615
LRF1;0.104647
LRF1;0.10335
LRF1;0.098584
LRF1;0.095488
LRF1;0.09235
LRF1;0.083924
LRF1;0.085945
LRF1;0.082678
LRF1;0.079369
LRF1;0.083535
LRF1;0.072622
LRF1;0.069185
LRF1;0.065704
LRF1;0.060612
LRF1;0.058615
LRF2;0.277803
LRF2;0.307227
LRF2;0.304674
LRF2;0.294316
LRF2;0.29852
LRF2;0.313742
LRF2;0.290966
LRF2;0.417436
LRF2;0.203313
LRF2;0.203589
LRF2;0.203748
LRF2;0.206312
LRF2;0.203717
LRF2;0.203527
LRF2;0.21214
LRF2;0.202796
LRF2;0.202256
LRF2;0.201599
LRF2;0.207089
LRF2;0.199936
LRF2;0.19893
LRF2;0.154305
LRF2;0.163185
LRF2;0.151522
LRF3;0.478384
LRF3;0.444718
LRF3;0.463814
LRF3;0.437538
LRF3;0.43379
LRF3;0.459637
LRF3;0.425981
LRF3;0.421918
LRF3;0.420104
LRF3;0.280056
LRF3;0.340648
LRF3;0.289288
LRF3;0.293379
LRF3;0.291596
LRF3;0.300513
LRF3;0.303555
LRF3;0.347351
LRF3;0.30859
LRF3;0.319473
LRF3;0.312227
LRF3;0.313521
LRF3;0.260319
LRF3;0.315059
LRF3;0.315304
LRF3;0.291402
LRF3;0.314745
LRF3;0.288973
LRF3;0.312787
LRF3;0.311283
ITP1;1.152421
ITP1;0.875091
ITP1;1.331594
ITP1;0.462489
ITP1;0.540661
ITP1;0.729225
ITP1;0.762756
ITP1;0.280316
ITP1;0.648724
ITP1;0.490748
ITP1;0.551246
ITP1;0.7707
ITP2;1.214962
ITP2;1.079966
ITP2;1.987506
ITP2;0.781336
ITP2;0.746889
ITP2;0.607352
ITP2;0.50574
ITP2;0.843175
ITP2;1.644421
ITP2;1.334338
ITP2;1.805012
ITP2;1.330861
ITP2;1.064251
ITP2;1.316877
ITP3;0.922469
ITP3;1.874294
ITP3;1.180235
ITP3;0.879671
ITP3;0.876879
ITP3;1.100664
ITP3;1.19077
ITP3;1.197497
ITP3;0.981134
ITP3;1.124987
ITP3;0.920946
ITP3;1.661794
ITP3;0.713334
ITP3;1.103313
ITP3;1.563553
ITP3;1.142733
ITP3;1.486693
ITP3;0.927035
ITP3;1.151899
ITP3;1.176979
ITP3;0.690839
ITP3;0.830052
ITP3;1.303061
MAC1;0.4042
MAC1;0.2795
MAC1;0.2595
MAC1;0.4042
MAC1;0.2795
MAC1;0.2595
MAC2;1062
MAC2;0.7103
MAC2;1.1969
MAC2;0.7975
MAC2;0.8511
MAC2;0.9508
MAC2;0.8047
MAC2;0.6743
MAC2;0.6754
MAC3;1.8701
MAC3;1528
MAC3;1.4092
MAC3;1.4741
MAC3;1.4427
MAC3;1.3508
MAC3;0.8953
MAC3;859
MAC3;0.9027
MAC3;1.0865
MAC3;1.1975
MAC3;1.6722
MAC3;1.1059
MAC3;1.0989
IMB1;0.042237
IMB1;0.035995
IMB1;0.029498
IMB1;0.067057
IMB1;0.04919
IMB1;0.029374
IMB1;0.0322
IMB1;0.037596
IMB1;0.0368
IMB1;0.04039
IMB1;0.0368
IMB1;0.04039
IMB1;0.0368
IMB1;0.04039
IMB2;101
IMB2;0.075182
IMB2;0.077867
IMB2;0.061596
IMB2;0.019864
IMB2;0.045984
IMB2;0.06839
IMB2;0.06358
IMB2;0.06839
IMB2;0.06358
IMB2;0.06839
IMB2;0.06358
IMB3;0.120042
IMB3;0.022014
IMB3;0.10102
IMB3;0.058631
IMB3;0.121569
IMB3;0.078625
IMB3;0.061373
IMB3;0.105707
IMB3;0.130841

