"","ITP3"
"1",-0.0807015079681365
"2",0.628232055182566
"3",0.165713571191711
"4",-0.128207305050682
"5",-0.131386266482217
"6",0.0959136340528154
"7",0.174600156694668
"8",0.180233545080589
"9",-0.0190462334341568
"10",0.117771480034062
"11",-0.0823538763675726
"12",0.507897741699441
"13",-0.337805525055347
"14",0.0983174715480245
"15",0.446960795646309
"16",0.1334227617244
"17",0.396554190211474
"18",-0.0757639579262246
"19",0.141411884819033
"20",0.162950986147857
"21",-0.369848478020639
"22",-0.186266929551551
"23",0.264716112089128
