"","LRF1"
"1",-2.31423815739974
"2",-2.33681754758589
"3",-2.49087808157059
"4",-2.38461407208922
"5",-2.40990551587663
"6",-2.43618015810003
"7",-2.36959463143797
"8",-2.4919301458089
"9",-2.52149826574793
"10",-2.55230309121275
"11",-2.56789691035785
"12",-2.61785501207783
"13",-2.65277627850697
"14",-2.68924927931277
"15",-2.93297246629351
"16",-2.76724310173916
"17",-2.80900035067691
"18",-2.85280200903661
"19",-2.8724136943495
"20",-2.94710072048173
"21",-2.99797873156795
"22",-3.05160803112668
"23",-3.20715752752383
"24",-3.16819093749882
"25",-3.23174695816871
"26",-3.29926864176049
"27",-3.21478703380917
"28",-3.4480478159906
"29",-3.53036501932759
"30",-3.61889604064235
"31",-3.7590757340994
"32",-3.81796255876352
