"","LRF3"
"1",-0.737341521721059
"2",-0.810314905558764
"3",-0.768271669191524
"4",-0.826591719813474
"5",-0.835194732952808
"6",-0.777318231461102
"7",-0.853360534646385
"8",-0.862944296623511
"9",-0.86725297930964
"10",-1.27276569581022
"11",-1.07690559290842
"12",-1.24033254729346
"13",-1.22628999047697
"14",-1.23238599636284
"15",-1.20226426471133
"16",-1.1921924657904
"17",-1.05741948290684
"18",-1.17574174398511
"19",-1.14108251577772
"20",-1.16402479161654
"21",-1.15988893550667
"22",-1.34584747694472
"23",-1.15499535610795
"24",-1.15421802618111
"25",-1.2330515218266
"26",-1.15599249180737
"27",-1.24142202083969
"28",-1.16223283127693
"29",-1.16705281272699
